"aircraft_icao"	"registration"	"callsign"	"aircraft_model"	"aircraft_model_icao"	"country_code"	"aircraft_type"	"mil_civ_nature"	"longitude"	"latitude"	"speed"	"altitude"	"track"	"pos_datetime"	"flight_line"
"7CF9D4"	"A47-010"	"BLKT01"	"Boeing P-8A Poseidon"	"P8"	"AU"	9	0	124.689124	26.362061	767.66	5779.81	0.0	1646986545	"7CF9D4_2022-03-11_2"
"7CF9D4"	"A47-010"	"BLKT01"	"Boeing P-8A Poseidon"	"P8"	"AU"	9	0	124.81261	26.345541	769.51	5779.81	0.0	1646986604	"7CF9D4_2022-03-11_2"
"7CF9D4"	"A47-010"	"BLKT01"	"Boeing P-8A Poseidon"	"P8"	"AU"	9	0	124.861329	26.339035	771.36	5779.81	0.0	1646986626	"7CF9D4_2022-03-11_2"
"7CF9D4"	"A47-010"	"BLKT01"	"Boeing P-8A Poseidon"	"P8"	"AU"	9	0	125.067945	26.303787	776.36	5779.81	0.0	1646986725	"7CF9D4_2022-03-11_2"
"7CF9D4"	"A47-010"	"BLKT01"	"Boeing P-8A Poseidon"	"P8"	"AU"	9	0	124.862988	26.802155	749.32	5779.81	0.0	1647328424	"7CF9D4_2022-03-15_2"
"7CF9D4"	"A47-010"	"BLKT01"	"Boeing P-8A Poseidon"	"P8"	"AU"	9	0	124.895117	26.688309	744.69	5779.81	0.0	1647328486	"7CF9D4_2022-03-15_2"
"7CF9D4"	"A47-010"	"BLKT01"	"Boeing P-8A Poseidon"	"P8"	"AU"	9	0	124.925174	26.5811	743.03	5779.81	0.0	1647328546	"7CF9D4_2022-03-15_2"
"7CF9D4"	"A47-010"	"BLKT01"	"Boeing P-8A Poseidon"	"P8"	"AU"	9	0	124.955591	26.472535	744.69	5779.81	0.0	1647328606	"7CF9D4_2022-03-15_2"
"7CF9D4"	"A47-010"	"BLKT01"	"Boeing P-8A Poseidon"	"P8"	"AU"	9	0	124.98705	26.363846	748.03	5779.81	0.0	1647328666	"7CF9D4_2022-03-15_2"
"7CF9D4"	"A47-010"	"BLKT01"	"Boeing P-8A Poseidon"	"P8"	"AU"	9	0	125.05929	26.270599	758.95	5779.81	0.0	1647328726	"7CF9D4_2022-03-15_2"
"800E8C"	"IN331"		"Boeing P-8I Neptune"	"P8"	"IN"	9	0	118.8	14.48	837.104	10336.0	0.0	1645495968	"800E8C_2022-02-22_1"
"800E8C"	"IN331"		"Boeing P-8I Neptune"	"P8"	"IN"	9	0	118.77	14.48	835.252	10336.0	0.0	1645495983	"800E8C_2022-02-22_1"
"800E8C"	"IN331"		"Boeing P-8I Neptune"	"P8"	"IN"	9	0	118.67	14.46	833.4	10336.0	0.0	1645496028	"800E8C_2022-02-22_1"
"800E8C"	"IN331"		"Boeing P-8I Neptune"	"P8"	"IN"	9	0	118.5	14.44	831.548	10336.0	0.0	1645496108	"800E8C_2022-02-22_1"
"800E8C"	"IN331"		"Boeing P-8I Neptune"	"P8"	"IN"	9	0	118.3	14.41	829.696	10336.0	0.0	1645496206	"800E8C_2022-02-22_1"
"800E8C"	"IN331"		"Boeing P-8I Neptune"	"P8"	"IN"	9	0	118.23	14.4	831.548	10336.0	0.0	1645496236	"800E8C_2022-02-22_1"
"800E8C"	"IN331"		"Boeing P-8I Neptune"	"P8"	"IN"	9	0	118.08	14.37	829.696	10336.0	0.0	1645496309	"800E8C_2022-02-22_1"
"800E8C"	"IN331"		"Boeing P-8I Neptune"	"P8"	"IN"	9	0	117.95	14.35	827.844	10336.0	0.0	1645496367	"800E8C_2022-02-22_1"
"800E8C"	"IN331"		"Boeing P-8I Neptune"	"P8"	"IN"	9	0	110.9	13.97	844.512	10336.0	0.0	1645499716	"800E8C_2022-02-22_1"
"800E8C"	"IN331"		"Boeing P-8I Neptune"	"P8"	"IN"	9	0	110.49	13.97	837.104	10336.0	0.0	1645499907	"800E8C_2022-02-22_1"
"800E8C"	"IN331"		"Boeing P-8I Neptune"	"P8"	"IN"	9	0	110.41	13.97	835.252	10336.0	0.0	1645499945	"800E8C_2022-02-22_1"
"800E8C"	"IN331"		"Boeing P-8I Neptune"	"P8"	"IN"	9	0	110.37	13.97	833.4	10336.0	0.0	1645499964	"800E8C_2022-02-22_1"
"800E8C"	"IN331"		"Boeing P-8I Neptune"	"P8"	"IN"	9	0	110.22	13.97	835.252	10336.0	0.0	1645500032	"800E8C_2022-02-22_1"
"899001"	"3301"	"FOLLOWME"	"Lockheed P-3C Orion"	"P3"	"TW"	9	0	120.42	22.42	387.068	577.6	0.0	1646119226	"899001_2022-03-01_2"
"899001"	"3301"	"FOLLOWME"	"Lockheed P-3C Orion"	"P3"	"TW"	9	0	120.42	22.42	387.068	608.0	0.0	1646119278	"899001_2022-03-01_2"
"899001"	"3301"	"FOLLOWME"	"Lockheed P-3C Orion"	"P3"	"TW"	9	0	120.42	22.5	561.156	608.0	0.0	1646119310	"899001_2022-03-01_2"
"899001"	"3301"	"FOLLOWME"	"Lockheed P-3C Orion"	"P3"	"TW"	9	0	120.42	22.53	542.636	608.0	0.0	1646119346	"899001_2022-03-01_2"
"899001"	"3301"	"FOLLOWME"	"Lockheed P-3C Orion"	"P3"	"TW"	9	0	120.41	22.51	872.292	638.4	0.0	1646119407	"899001_2022-03-01_2"
"899001"	"3301"	"FOLLOWME"	"Lockheed P-3C Orion"	"P3"	"TW"	9	0	120.44	22.6	1083.42	577.6	0.0	1646119514	"899001_2022-03-01_2"
"899001"	"3301"	"FOLLOWME"	"Lockheed P-3C Orion"	"P3"	"TW"	9	0	120.52	22.74	407.44	1216.0	0.0	1646443954	"899001_2022-03-05_1"
"899001"	"3301"	"FOLLOWME"	"Lockheed P-3C Orion"	"P3"	"TW"	9	0	120.53	22.74	392.624	1216.0	0.0	1646443982	"899001_2022-03-05_1"
"899001"	"3301"	"FOLLOWME"	"Lockheed P-3C Orion"	"P3"	"TW"	9	0	120.53	22.71	516.708	1216.0	0.0	1646444002	"899001_2022-03-05_1"
"899001"	"3301"	"FOLLOWME"	"Lockheed P-3C Orion"	"P3"	"TW"	9	0	120.48	22.68	429.664	1216.0	0.0	1646444054	"899001_2022-03-05_1"
"899001"	"3301"	"FOLLOWME"	"Lockheed P-3C Orion"	"P3"	"TW"	9	0	120.47	22.66	470.408	1216.0	0.0	1646444070	"899001_2022-03-05_1"
"899001"	"3301"	"FOLLOWME"	"Lockheed P-3C Orion"	"P3"	"TW"	9	0	120.45	22.64	481.52	1216.0	0.0	1646444094	"899001_2022-03-05_1"
